name,rating,users_count,tags,link
Sonya and Matrix,2300,21,"brute force, constructive algorithms, implementation",https://codeforces.com/problemset/problem/1004/D
Alex and Complicated Task,2300,24,"data structures, dp, greedy",https://codeforces.com/problemset/problem/467/E
Little Victor and Set,2300,25,"brute force, constructive algorithms, math",https://codeforces.com/problemset/problem/460/D
Awards For Contestants,2300,18,"brute force, data structures, dp",https://codeforces.com/problemset/problem/873/E
Archer's Shot,2300,3,"binary search, geometry, math, two pointers",https://codeforces.com/problemset/problem/78/D
Max History,2300,18,"combinatorics, math",https://codeforces.com/problemset/problem/938/E
Fox And Dinner,2300,4,flows,https://codeforces.com/problemset/problem/510/E
Vasya and Templates,2300,114,"constructive algorithms, greedy, implementation, strings",https://codeforces.com/problemset/problem/1086/C
Horseback Riding,2300,23,"flows, graphs",https://codeforces.com/problemset/problem/1090/E
Multidimensional Queries,2300,33,"bitmasks, data structures",https://codeforces.com/problemset/problem/1093/G
Monsters and Potions,2300,19,"brute force, dp, greedy, implementation",https://codeforces.com/problemset/problem/1070/G
Streets and Avenues in Berhattan,2300,17,dp,https://codeforces.com/problemset/problem/1070/J
Hyperspace Highways,2300,18,"dfs and similar, graphs, trees",https://codeforces.com/problemset/problem/1045/C
Timetable,2300,65,"constructive algorithms, data structures, greedy, math",https://codeforces.com/problemset/problem/1039/A
Nikita and Order Statistics,2300,49,"chinese remainder theorem, fft, math",https://codeforces.com/problemset/problem/993/E
Alternating Tree,2300,36,"combinatorics, dfs and similar, divide and conquer, dp, probabilities, trees",https://codeforces.com/problemset/problem/960/E
Lock Puzzle,2300,43,"constructive algorithms, implementation, strings",https://codeforces.com/problemset/problem/936/C
Bipartite Segments,2300,40,"binary search, data structures, dfs and similar, dsu, graphs, two pointers",https://codeforces.com/problemset/problem/901/C
Envy,2300,48,"data structures, dsu, graphs",https://codeforces.com/problemset/problem/891/C
Teams Formation,2300,80,"data structures, implementation",https://codeforces.com/problemset/problem/878/B
Fake News (hard),2300,19,string suffix structures,https://codeforces.com/problemset/problem/802/I
Periodic RMQ Problem,2300,22,data structures,https://codeforces.com/problemset/problem/803/G
Barrels and boxes,2300,41,"brute force, combinatorics, math, number theory, probabilities",https://codeforces.com/problemset/problem/768/F
st-Spanning Tree,2300,19,"dsu, graphs, greedy, implementation",https://codeforces.com/problemset/problem/723/F
Sasha and Array,2300,28,"data structures, math, matrices",https://codeforces.com/problemset/problem/718/C
ZS and The Birthday Paradox,2300,12,"math, number theory, probabilities",https://codeforces.com/problemset/problem/711/E
Collective Mindsets (medium),2300,17,,https://codeforces.com/problemset/problem/690/A2
Vanya and Balloons,2300,7,"binary search, brute force, dp, implementation",https://codeforces.com/problemset/problem/677/E
Vanya and Treasure,2300,12,"data structures, dp, graphs, shortest paths",https://codeforces.com/problemset/problem/677/D
Trains and Statistic,2300,27,"data structures, dp, greedy",https://codeforces.com/problemset/problem/675/E
Restore a Number,2300,12,"brute force, constructive algorithms, strings",https://codeforces.com/problemset/problem/670/F
Famil Door and Roads,2300,6,"combinatorics, data structures, dfs and similar, dp, probabilities, trees",https://codeforces.com/problemset/problem/629/E
Vika and Segments,2300,6,"constructive algorithms, data structures, geometry, two pointers",https://codeforces.com/problemset/problem/610/D
Top Secret Task,2300,15,dp,https://codeforces.com/problemset/problem/590/D
Kleofáš and the n-thlon,2300,39,"dp, math, probabilities",https://codeforces.com/problemset/problem/601/C
Edo and Magnets,2300,25,"brute force, greedy, implementation, two pointers",https://codeforces.com/problemset/problem/594/C
Lizard Era: Beginning,2300,29,meet-in-the-middle,https://codeforces.com/problemset/problem/585/D
Anton and Ira,2300,23,"constructive algorithms, greedy, math",https://codeforces.com/problemset/problem/584/E
Pig and Palindromes,2300,9,"combinatorics, dp",https://codeforces.com/problemset/problem/570/E
Ann and Half-Palindrome,2300,18,"data structures, dp, graphs, string suffix structures, strings, trees",https://codeforces.com/problemset/problem/557/E
Mike and Foam,2300,24,"bitmasks, combinatorics, dp, math, number theory",https://codeforces.com/problemset/problem/547/C
Road Improvement,2300,33,"dp, trees",https://codeforces.com/problemset/problem/543/D
Drazil and Park,2300,21,data structures,https://codeforces.com/problemset/problem/516/C
DZY Loves FFT,2300,8,probabilities,https://codeforces.com/problemset/problem/444/B
Sereja and Two Sequences,2300,33,"data structures, dp",https://codeforces.com/problemset/problem/425/C
Mashmokh and Water Tanks,2300,27,"binary search, data structures, greedy, trees, two pointers",https://codeforces.com/problemset/problem/414/D
Graph Cutting,2300,16,"constructive algorithms, dfs and similar, graphs",https://codeforces.com/problemset/problem/406/C
Playing with String,2300,6,games,https://codeforces.com/problemset/problem/305/E
Set of Points,2300,24,"constructive algorithms, geometry",https://codeforces.com/problemset/problem/277/B
Optimal Insertion,2300,65,"data structures, divide and conquer, dp, greedy, sortings",https://codeforces.com/problemset/problem/1601/C
Polygon,2300,47,"constructive algorithms, geometry",https://codeforces.com/problemset/problem/306/D
Script Generation,2300,6,,https://codeforces.com/problemset/problem/177/F2
Side Transmutations,2300,11,"combinatorics, strings",https://codeforces.com/problemset/problem/1065/E
